tags:5k
volatile	ˈvɒlətaɪl	volatile emotions	változékony	<img src="volatile.jpg">
blouse	blaʊz	She changed into a sleeveless blouse and shorts	blúz	<img src="blouse.jpg">
exquisite	ˈɛkskwɪzɪt	He has exquisite taste	rendkívüli	<img src="exquisite.jpg">
vow	vaʊ	He vowed never to drink alcohol again	fogadalom	<img src="vow.jpg">
prone	prəʊn	a child prone to mischief	hajlamos	<img src="prone.jpg">
intestine	ɪnˈtɛstɪn	the small intestine and the large intestine	bélrendszer	<img src="intestine.jpg">
tow	təʊ	the truck gave him a tow to the garage	vontat	<img src="tow.jpg">
lesion	ˈliːʒən	skin lesion	horzsolás	<img src="lesion.jpg">
loot	luːt	More than 20 shops were looted	kifoszt	<img src="loot.jpg">
ponder	ˈpɒndə	Let me ponder that	latolgat	<img src="ponder.jpg">
dreadful	ˈdrɛdfʊl	a dreadful storm	rettenetes	<img src="dreadful.jpg">
ample	ˈæmpl	an ample supply	bőséges	<img src="ample.jpg">
rig	rɪg	to rig an election	meghamisít	<img src="rig.jpg">
shrub	ʃrʌb	evergreen shrubs	cserje	<img src="shrub.jpg">
elusive	ɪˈluːsɪv	mice are quick and elusive	nehezen megfogható	<img src="elusive.jpg">
